,origin_x,origin_y,destination_x,destination_y,treq,hub,ttrav,tarr,u,dist_OH,u_PT_OD,u_PT_HD,u_SUM_OD,p_SUM
123,19.87347543,50.0127793,19.983278135376565,50.06646184075096,2024-03-28 07:46:34,1989392511,303.3333333333333,2024-03-28 07:51:37,3.6399999999999997,1820,17.72978184199275,12.93680244353715,19.156802443537153,0.19356333354405209
124,19.88182712,50.01973086,19.896832819715183,50.023389904983894,2024-03-28 07:47:18,1989392511,184.16666666666666,2024-03-28 07:50:22,2.21,1105,9.868383571358276,3.6977589473416734,8.487758947341673,0.7990912988687695
125,19.88584052,50.016247,19.952184584477106,50.02572924887218,2024-03-28 08:04:36,1989392511,63.166666666666664,2024-03-28 08:05:39,0.758,379,12.313958496171276,10.972076954870055,14.310076954870054,0.11961106171073488
126,19.87295788,50.0127546,19.952184584477106,50.02572924887218,2024-03-28 08:05:19,1989392511,303.3333333333333,2024-03-28 08:10:22,3.6399999999999997,1820,20.194975789415096,10.972076954870055,17.192076954870053,0.9527049148070407
127,19.85688523,50.00529958,20.00906306333476,50.09898607418698,2024-03-28 07:48:33,1989392511,538.6666666666666,2024-03-28 07:57:31,6.4639999999999995,3232,18.088117180350384,14.365528233016779,23.40952823301678,0.004862099150869011
128,19.86259733,50.00792858,19.907826011217153,49.99621555189428,2024-03-28 07:58:31,1989392511,489.6666666666667,2024-03-28 08:06:40,5.876,2938,7.753780413439763,10.828238233016778,19.28423823301678,9.82610787518232e-06
129,19.87409872,50.01428354,19.994032008632,50.077640724084745,2024-03-28 07:45:35,1989392511,250.33333333333334,2024-03-28 07:49:45,3.004,1502,13.32161695480552,13.345578420984278,18.929578420984278,0.003655131187977629
130,19.8810952,50.02168634,19.909705443399535,50.071701286063636,2024-03-28 08:14:46,1989392511,296.3333333333333,2024-03-28 08:19:42,3.556,1778,17.559105375910796,12.664308195471676,18.80030819547168,0.22422668697479584
131,19.87049231,50.01345396,19.872907461781093,50.03014549034367,2024-03-28 07:49:53,1989392511,316.1666666666667,2024-03-28 07:55:09,3.794,1897,20.65680127813866,8.473154812000233,14.847154812000234,0.9970104741106477
132,19.87125951,50.02027999,20.020793870134337,50.0807515525673,2024-03-28 07:56:20,1989392511,291.6666666666667,2024-03-28 08:01:11,3.5,1750,15.105583909691703,14.779129398455604,20.8591293984556,0.0031614895483738567
133,19.88426342,50.01458461,19.890428160790396,50.01147754141,2024-03-28 08:10:13,1989392511,188.66666666666666,2024-03-28 08:13:21,2.264,1132,18.33667394729327,4.971191992415154,9.815191992415153,0.9998008955664399
134,19.87563707,50.00941423,20.24307426366761,50.03837155924178,2024-03-28 08:07:28,1989392511,325.8333333333333,2024-03-28 08:12:53,3.91,1955,18.141813571326,33.07130857139054,39.56130857139054,4.984613806888977e-10
135,19.86959713,50.01430501,19.890428160790396,50.01147754141,2024-03-28 07:45:24,1989392511,316.1666666666667,2024-03-28 07:50:40,3.794,1897,11.811746090187293,4.971191992415154,11.345191992415154,0.6145678339433391
136,19.88346897,50.01332848,19.975078302248633,50.03920911861551,2024-03-28 08:01:25,1989392511,124.0,2024-03-28 08:03:29,1.488,744,18.804931052585726,12.547111578870524,16.615111578870525,0.8993315637928605
137,19.87882338,50.02124741,19.938498264089006,50.062474167174344,2024-03-28 07:56:51,1989392511,268.3333333333333,2024-03-28 08:01:19,3.2199999999999998,1610,5.235582330772784,9.098744022464139,14.898744022464138,6.357913084433638e-05
138,19.87929332,50.01326713,19.90664300481499,50.03013095170665,2024-03-28 07:47:29,1989392511,284.0,2024-03-28 07:52:13,3.408,1704,37.772022894683346,4.1331937217564745,10.121193721756475,0.9999999999990196
139,19.86523633,50.00529383,19.90664300481499,50.03013095170665,2024-03-28 07:55:55,1989392511,459.5,2024-03-28 08:03:34,5.514,2757,8.45149165410592,4.1331937217564745,12.227193721756475,0.022407393203486534
140,19.87735784,50.01400512,19.830937746661448,50.007847520833444,2024-03-28 07:47:05,1989392511,187.0,2024-03-28 07:50:12,2.244,1122,16.94734443600071,13.478394210463904,18.302394210463902,0.20504602162570382
141,19.87014419,50.00504104,19.896832819715183,50.023389904983894,2024-03-28 08:08:41,1989392511,425.5,2024-03-28 08:15:46,5.106,2553,15.46300999981446,3.6977589473416734,11.383758947341674,0.9833613942256019
142,19.87795954,50.01596305,19.909705443399535,50.071701286063636,2024-03-28 08:11:46,1989392511,187.0,2024-03-28 08:14:53,2.244,1122,9.947160187911031,12.664308195471676,17.488308195471674,0.0005305063369899645
143,19.87125951,50.02027999,19.8944574398021,50.00234556464199,2024-03-28 07:50:20,1989392511,291.6666666666667,2024-03-28 07:55:11,3.5,1750,9.015445451073596,5.89432642852879,11.974326428528789,0.049318446276259795
144,19.87055025,50.01584869,19.916133429658977,50.055493041678496,2024-03-28 08:13:49,1989392511,246.0,2024-03-28 08:17:55,2.952,1476,14.6793053758866,14.028634661618169,19.560634661618167,0.007529794172148358
145,19.87772825,50.01123073,19.890428160790396,50.01147754141,2024-03-28 07:45:02,1989392511,302.0,2024-03-28 07:50:04,3.624,1812,8.865968834536973,4.971191992415154,11.175191992415154,0.09036197823828393
146,19.88426342,50.01458461,19.896832819715183,50.023389904983894,2024-03-28 07:46:53,1989392511,188.66666666666666,2024-03-28 07:50:01,2.264,1132,,3.6977589473416734,,
147,19.87035762,50.02010393,19.805617242245603,50.00808953483236,2024-03-28 08:03:13,1989392511,311.1666666666667,2024-03-28 08:08:24,3.734,1867,16.283125714252296,8.176978308236043,14.490978308236043,0.8571903530256225
148,19.87148454,50.0129918,19.947557840848475,50.03890114836852,2024-03-28 07:47:49,1989392511,352.3333333333333,2024-03-28 07:53:41,4.228,2114,11.094024360837901,9.184720375886597,15.992720375886597,0.007401114708028163
149,19.88345719,50.01458222,19.914635113529016,50.04779141022027,2024-03-28 07:51:29,1989392511,188.66666666666666,2024-03-28 07:54:37,2.264,1132,18.597118496155147,8.268155526268663,13.112155526268662,0.9958684518044715
150,19.8860606,50.01655644,19.896832819715183,50.023389904983894,2024-03-28 08:10:40,1989392511,63.166666666666664,2024-03-28 08:11:43,0.758,379,7.562413872122405,3.6977589473416734,7.035758947341673,0.6287025889391502
