,origin_x,origin_y,destination_x,destination_y,treq,hub,ttrav,tarr,u,dist_OH,u_PT_OD,u_PT_HD,u_SUM_OD,p_SUM
162,19.88153589,50.09376942,19.900957039209576,50.0195528675999,2024-03-28 07:49:27,1786358199,295.8333333333333,2024-03-28 07:54:22,3.55,1775,7.932565375846262,8.658615789439295,20.68503199244742,2.8951619368519646e-06
163,19.872702,50.100578,19.938498264089006,50.062474167174344,2024-03-28 07:53:44,1786358199,462.8333333333333,2024-03-28 08:01:26,5.554,2777,6.772535187919099,10.52358139093529,15.105210789358626,0.00024046978746775546
164,19.88981709,50.09623979,19.941901758623633,50.06816719956396,2024-03-28 07:53:41,1786358199,453.0,2024-03-28 08:01:14,5.436,2718,19.335857593943416,10.503456654097855,15.198381654097856,0.9842877240115189
165,19.872702,50.100578,19.885468795880367,50.09741493157783,2024-03-28 07:47:29,1786358199,462.8333333333333,2024-03-28 07:55:11,5.554,2777,15.247185526171865,4.971191992415154,14.172087368374351,0.7455652348851638
166,19.87614472,50.09264841,19.861627876692246,50.07843978555805,2024-03-28 08:02:34,1786358199,277.3333333333333,2024-03-28 08:07:11,3.328,1664,12.800209811976035,4.63747436082177,14.026565827024728,0.226819844625982
167,19.87674779,50.09040084,19.895332660090357,50.08589444983672,2024-03-28 08:05:59,1786358199,198.83333333333334,2024-03-28 08:09:17,2.386,1193,7.90187048868323,,,
168,19.87962811,50.09772205,19.94054876228438,50.02416084611265,2024-03-28 08:05:24,1786358199,377.1666666666667,2024-03-28 08:11:41,4.526,2263,13.784983045081548,,,
169,19.88735007,50.09673281,19.89175386495684,50.07333677705641,2024-03-28 08:08:02,1786358199,467.0,2024-03-28 08:15:49,5.604,2802,7.797887142797217,,,
170,19.88940772,50.09234215,19.930973165459715,50.026588448785624,2024-03-28 08:09:26,1786358199,374.6666666666667,2024-03-28 08:15:40,4.496,2248,19.674108984878703,,,
171,19.88050831,50.09360496,19.947557840848475,50.03890114836852,2024-03-28 07:53:15,1786358199,312.8333333333333,2024-03-28 07:58:27,3.754,1877,8.450005827008592,,,
172,19.872702,50.100578,19.956659023107136,50.05414863642009,2024-03-28 07:55:15,1786358199,462.8333333333333,2024-03-28 08:02:57,5.554,2777,17.571192330748584,,,
173,19.88583674,50.08531431,19.893211100346466,50.07746837869586,2024-03-28 07:55:34,1786358199,316.1666666666667,2024-03-28 08:00:50,3.794,1897,16.30447759390308,,,
174,19.88756709,50.09907107,19.908672905075143,50.06789917678694,2024-03-28 07:56:48,1786358199,449.6666666666667,2024-03-28 08:04:17,5.396,2698,19.73510349617128,,,
