,origin_x,origin_y,destination_x,destination_y,treq,index,hub,ttrav,tarr,u,ttrav_sh,tarr_sh,u_sh,u_PT_OD,u_PT_HD_ASC,u_SUM_OD,p_SUM,r
133,19.87983822,50.0980765,19.93033277,50.05882203,2024-03-28 08:14:43,133,1786358199,340,2024-03-28 08:20:23,4.256,340.0,2024-03-28 08:20:23,4.2273000000000005,13.33759587715074,6.8317732017224735,13.639850609851965,0.42500638777260863,1
136,19.88928531,50.09340245,19.9010301,50.08029795,2024-03-28 08:02:29,136,1786358199,337,2024-03-28 08:08:06,4.220000000000001,352.0,2024-03-28 08:08:21,4.072675,11.470366798140397,4.663594429757975,11.317046837887467,0.5382550808584633,1
137,19.88944697,50.09676023,19.95218458,50.02572925,2024-03-28 08:08:10,137,1786358199,297,2024-03-28 08:13:07,3.7184999999999997,297.0,2024-03-28 08:13:07,3.6856500000000003,19.754699298194172,11.719651535027573,17.986078943157064,0.8542860148302696,1
138,19.872702,50.100578,19.96647528,50.09906289,2024-03-28 07:47:43,138,1786358199,316,2024-03-28 07:52:59,3.9560000000000004,341.0,2024-03-28 07:53:24,3.838375,22.620363727999205,15.46123745606294,21.880389864192434,0.6769901409462363,1
142,19.872702,50.100578,19.96285314,50.06240333,2024-03-28 07:50:17,142,1786358199,240,2024-03-28 07:54:17,3.0075,240.0,2024-03-28 07:54:17,3.005725,20.995413157792132,10.178844956091172,15.765347364220663,0.9946753307892175,1
151,19.88282173,50.09670012,19.98327814,50.06646184,2024-03-28 07:47:09,151,1786358199,281,2024-03-28 07:51:50,3.5200000000000005,281.0,2024-03-28 07:51:50,3.4192250000000004,19.08551964902516,14.691769517460008,20.6917719255895,0.16710958604506962,1
156,19.88871608,50.09317837,19.94153257,50.0410446,2024-03-28 08:08:59,156,1786358199,396,2024-03-28 08:15:35,4.9515,411.0,2024-03-28 08:15:50,4.88625,17.044259473629157,9.630051973638569,17.09707938176806,0.4867980922030793,1
157,19.88153589,50.09376942,19.80561724,50.00808953,2024-03-28 07:57:28,157,1786358199,453,2024-03-28 08:05:01,5.6625,468.0,2024-03-28 08:05:16,5.5843750000000005,30.118036798221063,22.106490350821574,30.271642758951067,0.46167383834819,1
163,19.87923017,50.09481357,19.88341627,50.07447127,2024-03-28 08:10:31,163,1786358199,295,2024-03-28 08:15:26,3.6950000000000003,334.0,2024-03-28 08:16:05,3.6610750000000003,10.622355043778414,5.771499473602269,12.013351881731761,0.19924866503177172,1
166,19.8795987,50.10529807,19.94190176,50.0681672,2024-03-28 07:50:40,166,1786358199,50,2024-03-28 07:51:30,0.625,50.0,2024-03-28 07:51:30,0.625,14.971311710469282,8.044778596447498,11.250556004576989,0.9763568729386128,1
167,19.8758342,50.08784663,19.91846245,50.0623097,2024-03-28 07:57:01,167,1786358199,121,2024-03-28 07:59:02,1.5155,121.0,2024-03-28 07:59:02,1.5155,14.45716105252657,8.991928859568382,13.088206267697874,0.7972112308432149,1
171,19.86734806,50.09822122,19.90400613,50.08511392,2024-03-28 08:10:13,171,1786358199,94,2024-03-28 08:11:47,1.1765,94.0,2024-03-28 08:11:47,1.1148000000000002,10.127063903431504,9.110902763075176,12.806480171204669,0.06419893661900981,1
172,19.89175613,50.09426587,19.9710926,50.06354812,2024-03-28 08:08:59,172,1786358199,374,2024-03-28 08:15:13,4.681,389.0,2024-03-28 08:15:28,4.55855,16.772014868366284,10.403975482421682,17.543302890551175,0.3162005470836413,1
177,19.88875252,50.09591108,19.95482044,50.06107864,2024-03-28 07:55:31,177,1786358199,355,2024-03-28 08:01:26,4.445,385.0,2024-03-28 08:01:56,4.411575000000001,16.130075394664523,11.515369736790378,18.50772214491987,0.08489320261330364,1
178,19.872702,50.100578,19.93220916,50.05661244,2024-03-28 08:07:40,178,1786358199,453,2024-03-28 08:15:13,5.6625,483.0,2024-03-28 08:15:43,5.570725000000001,18.589358640266248,7.6695047367917235,15.821007144921218,0.9409414446345178,1
182,19.87614472,50.09264841,19.83480739,50.07317553,2024-03-28 08:07:16,182,1786358199,130,2024-03-28 08:09:26,1.625,130.0,2024-03-28 08:09:26,1.625,24.57244938593116,17.931329298219715,22.137106706349208,0.9194829604858701,1
198,19.88720203,50.08449532,20.24307426,50.03837156,2024-03-28 08:14:01,198,1786358199,251,2024-03-28 08:18:12,3.1420000000000003,251.0,2024-03-28 08:18:12,3.0916250000000005,40.96971890336293,34.59121425430148,40.26361666243097,0.6695393262146294,1
199,19.87759001,50.08874244,19.9654545,50.09054602,2024-03-28 07:54:30,199,1786358199,281,2024-03-28 07:59:11,3.5200000000000005,281.0,2024-03-28 07:59:11,3.4647250000000005,18.50756526304291,10.921691535010094,16.967193943139588,0.8235186977242549,1
200,19.88145306,50.09719446,20.054145,50.09449827,2024-03-28 07:51:12,200,1786358199,219,2024-03-28 07:54:51,2.739,219.0,2024-03-28 07:54:51,2.6540750000000006,21.566451096400435,15.351509999907233,20.586362408036727,0.7271258136965907,1
202,19.87227694,50.09653105,19.90970544,50.07170129,2024-03-28 07:56:09,202,1786358199,375,2024-03-28 08:02:24,4.6875,404.0,2024-03-28 08:02:53,4.585975000000001,11.352987894695447,4.970580789446016,12.137333197575508,0.313384130278283,1
204,19.87906536,50.09582566,19.99409627,50.06713896,2024-03-28 08:13:33,204,1786358199,320,2024-03-28 08:18:53,4.006,335.0,2024-03-28 08:19:08,3.8489750000000003,22.006005570088757,14.447143245581556,20.87689565371105,0.7556745999122009,1
207,19.88562189,50.0845492,19.9710926,50.06354812,2024-03-28 08:01:26,207,1786358199,163,2024-03-28 08:04:09,2.0404999999999998,163.0,2024-03-28 08:04:09,2.0404999999999998,15.618293815659559,10.403975482421682,15.025252890551172,0.6440625705309914,1
212,19.87759744,50.09443972,19.84656732,50.08497304,2024-03-28 07:50:41,212,1786358199,114,2024-03-28 07:52:35,1.4265,114.0,2024-03-28 07:52:35,1.4135,11.961815570137158,5.849390701707684,9.843668109837175,0.8926545437787418,1
213,19.87821176,50.09398523,19.85085005,50.06730964,2024-03-28 08:11:26,213,1786358199,316,2024-03-28 08:16:42,3.9530000000000003,331.0,2024-03-28 08:16:57,3.9019500000000007,20.93727013153288,13.967288201711717,20.45001560984121,0.6194594548804219,1
218,19.87702117,50.08754573,20.06950356,50.0868776,2024-03-28 08:05:02,218,1786358199,134,2024-03-28 08:07:16,1.6765,134.0,2024-03-28 08:07:16,1.6765,24.43552210514456,20.12503557008876,24.382312978218252,0.5132991441558158,1
219,19.8888015,50.09535499,19.94190176,50.0681672,2024-03-28 07:46:54,219,1786358199,202,2024-03-28 07:50:16,2.5265,202.0,2024-03-28 07:50:16,2.5265,13.821467368358217,8.044778596447498,13.152056004576991,0.661371341178253,1
222,19.88721939,50.09722075,19.94714951,50.06925457,2024-03-28 08:12:16,222,1786358199,198,2024-03-28 08:15:34,2.4825,198.0,2024-03-28 08:15:34,2.4825,17.7795290788759,11.040131140315992,16.103408548445483,0.8423901417593308,1
227,19.88711967,50.09447803,19.95422457,50.04563549,2024-03-28 08:04:52,227,1786358199,377,2024-03-28 08:11:09,4.714,392.0,2024-03-28 08:11:24,4.674375,19.189282017486896,10.2639158332688,17.519068241398294,0.8416043209757539,1
