,origin_x,origin_y,destination_x,destination_y,treq,origin,destination,dist,ttrav,tarr,t_expected,u_PT_OD,u_PT_HD,u_SUM_OD,p_SUM,nTrips
171,19.88178035,50.10009146,19.93918511778243,49.996739300957245,2024-03-28 08:02:31,274514795,1786358199,2250,375.0,2024-03-28 08:08:46,436.0,12.167589586439234,5.228625601463729,11.678625601463729,0.004796334913093775,1
172,19.88542037,50.10032873,19.846567318060366,50.08497304420286,2024-03-28 07:48:12,933716693,1786358199,2440,406.6666666666667,2024-03-28 07:54:58,406.6666666666667,10.835387067634418,6.964015601455662,13.794015601455662,0.04933028372980374,0
173,19.88668217,50.09803029,19.92604983564809,50.063908405043826,2024-03-28 08:14:19,933717560,1786358199,2802,467.0,2024-03-28 08:22:06,467.0,4.096461879683054,10.869684924700065,18.423684924700066,5.994677585543512e-07,0
174,19.87860042,50.10063281,19.91889755499071,50.09845420799526,2024-03-28 07:58:10,933710557,1786358199,2706,451.0,2024-03-28 08:05:41,527.0,33.23511150372386,6.0380873683743514,13.40008736837435,0.9999999760673356,1
175,19.88388116,50.09513697,19.885468795880367,50.09741493157783,2024-03-28 07:47:56,261737329,1786358199,1726,287.6666666666667,2024-03-28 07:52:43,287.6666666666667,12.955501766829952,34.09789398490291,39.49989398490291,2.964264372190836e-12,0
176,19.88877769,50.09423677,19.81365667690169,49.967735529248124,2024-03-28 08:00:09,1710281170,1786358199,2027,337.8333333333333,2024-03-28 08:05:46,337.8333333333333,8.315495225472262,10.403069135276905,16.407069135276906,0.0003060139188662607,0
177,19.88562189,50.0845492,19.916133429658977,50.055493041678496,2024-03-28 08:12:06,4263449095,1786358199,1897,316.1666666666667,2024-03-28 08:17:22,316.1666666666667,11.77808357137441,8.097089924724267,13.841089924724267,0.11274474411936049,0
178,19.88657029,50.08511129,19.928192994179508,50.08676725221771,2024-03-28 07:48:47,4263449095,1786358199,1897,316.1666666666667,2024-03-28 07:54:03,316.0,18.842226879642716,10.692943684138775,16.436943684138775,0.9997292656463793,1
179,19.88915831,50.09883248,19.947149505549167,50.06925456517236,2024-03-28 08:14:30,933717560,1786358199,2802,467.0,2024-03-28 08:22:17,467.0,16.24717827057801,15.907178120236278,23.461178120236276,0.0007356649415609454,0
180,19.88244022,50.09267465,19.971092603205765,50.06354811678362,2024-03-28 07:49:41,2958861357,1786358199,1775,295.8333333333333,2024-03-28 07:54:36,295.8333333333333,9.998878533756708,11.76838793222038,17.268387932220378,0.0006959688811341497,0
181,19.88261217,50.09654935,19.992593420939894,50.091305357380136,2024-03-28 08:01:45,264718159,1786358199,1924,320.6666666666667,2024-03-28 08:07:05,320.6666666666667,12.008850601455663,7.950958909715906,13.748958909715906,0.14929917789171887,0
182,19.87855699,50.08379694,19.930332766419596,50.05882202718608,2024-03-28 07:52:34,307414955,1786358199,278,46.333333333333336,2024-03-28 07:53:20,46.333333333333336,6.0430494360329705,6.507429811967968,9.013429811967967,0.048782069620706546,0
183,19.88301104,50.10062255,19.909705443399535,50.071701286063636,2024-03-28 07:48:49,274514795,1786358199,2250,375.0,2024-03-28 07:55:04,375.0,7.217855977414861,5.311422105179518,11.761422105179516,0.01052348996242546,0
184,19.8888015,50.09535499,19.88863836597887,50.08547278122212,2024-03-28 08:07:39,51975594,1786358199,2718,453.0,2024-03-28 08:15:12,453.0,7.90187048868323,5.922773308219911,13.30877330821991,0.00446548119166506,0
185,19.88303033,50.10039167,19.89025801381177,50.09184543984393,2024-03-28 07:56:40,274514795,1786358199,2250,375.0,2024-03-28 08:02:55,375.0,7.846141578878589,6.0380873683743514,12.488087368374352,0.009546902186474257,0
186,19.872702,50.100578,19.885468795880367,50.09741493157783,2024-03-28 07:54:10,1710281870,1786358199,2777,462.8333333333333,2024-03-28 08:01:52,462.8333333333333,7.251465451073595,6.285853157797511,13.789853157797511,0.0014447290546871704,0
187,19.88464024,50.08340652,19.896749805080038,50.092023913249974,2024-03-28 07:55:01,2596927251,1786358199,963,160.5,2024-03-28 07:57:41,160.5,13.306112819480209,6.285853157797511,10.16185315779751,0.9586819396952725,0
188,19.88561347,50.09845108,19.896749805080038,50.092023913249974,2024-03-28 07:48:36,933716690,1786358199,2358,393.0,2024-03-28 07:55:09,393.0,11.19402293230105,8.161271428512658,14.827271428512656,0.025749619205544666,0
189,19.872702,50.100578,19.919436018510833,50.085962925378524,2024-03-28 07:54:58,1710281870,1786358199,2777,462.8333333333333,2024-03-28 08:02:40,462.8333333333333,8.240800263065765,6.507429811967968,14.011429811967968,0.0031081036651012294,0
190,19.88201743,50.10401688,19.909705443399535,50.071701286063636,2024-03-28 07:50:22,933716014,1786358199,2892,482.0,2024-03-28 07:58:24,482.0,9.508457518756416,4.884625187870697,12.618625187870697,0.04268979149661802,0
191,19.88615271,50.09701788,19.893211100346466,50.07746837869586,2024-03-28 08:12:55,274514735,1786358199,1938,323.0,2024-03-28 08:18:18,338.0,11.11888932325247,5.728417706699715,11.554417706699715,0.3821273629391274,1
192,19.88153589,50.09376942,19.908672905075143,50.06789917678694,2024-03-28 07:57:13,2958861357,1786358199,1775,295.8333333333333,2024-03-28 08:02:08,295.0,23.47776255627732,9.423062330764717,14.923062330764715,0.9998078803808624,1
193,19.88935346,50.09471415,19.925828223725688,50.075653280432284,2024-03-28 07:55:58,1710281170,1786358199,2027,337.8333333333333,2024-03-28 08:01:35,337.0,12.917842556277318,6.964015601455662,12.968015601455662,0.0758906792172221,1
194,19.8786726,50.08428215,19.92604983564809,50.063908405043826,2024-03-28 07:53:50,307414955,1786358199,278,46.333333333333336,2024-03-28 07:54:36,46.333333333333336,14.536344548829604,18.03275357131794,20.53875357131794,0.002466688396288886,0
195,19.87365044,50.08854313,19.956659023107136,50.05414863642009,2024-03-28 07:45:46,294025348,1786358199,1213,202.16666666666666,2024-03-28 07:49:08,202.16666666666666,8.109785112707899,9.415879060057637,13.791879060057637,0.003394853818561021,0
196,19.88296212,50.08601647,19.964916843448524,50.081348066156636,2024-03-28 07:49:55,232660150,1786358199,565,94.16666666666667,2024-03-28 07:51:29,94.0,15.029945789423165,7.65371729318735,10.73371729318735,0.9865698042470741,1
197,19.87285431,50.09922422,19.923458794539304,50.05679640240351,2024-03-28 08:04:42,297891997,1786358199,2544,424.0,2024-03-28 08:11:46,619.0,25.9694347743422,4.297598909715907,11.335598909715905,0.9999856222404996,1
