,origin_x,origin_y,destination_x,destination_y,treq,origin,destination,dist,ttrav,tarr,t_expected,u_PT_OD,u_PT_HD,u_SUM_OD,p_SUM,nTrips
34,19.87060256,50.00917659,19.903453043152297,49.986252508501714,2024-03-28 07:53:13,967785541,1989392511,2463,410.5,2024-03-28 08:00:03,410.5,12.007374812008301,12.24233729321155,19.11833729321155,0.0008154436332928022,0
35,19.86935508,50.01169316,19.86517482021967,49.99033788575227,2024-03-28 08:12:52,1259472987,1989392511,2114,352.3333333333333,2024-03-28 08:18:44,352.3333333333333,8.462719097715674,5.036580939821359,11.214580939821358,0.059981586406501225,0
36,19.87196041,50.0063567,19.95828088598866,49.97269496881314,2024-03-28 07:50:56,295825387,1989392511,2169,361.5,2024-03-28 07:56:57,361.5,15.222841691699422,13.552942443577482,19.840942443577482,0.009775032254725854,0
37,19.88424083,50.01410012,19.896832819715183,50.023389904983894,2024-03-28 08:01:20,3005106299,1989392511,1132,188.66666666666666,2024-03-28 08:04:28,188.66666666666666,8.474177894659146,6.397924248041271,10.61192424804127,0.1054818443221399,0
38,19.88345719,50.01458222,19.941532571499973,50.04104459668561,2024-03-28 07:48:57,3005106299,1989392511,1132,188.66666666666666,2024-03-28 07:52:05,188.66666666666666,17.014330563846027,12.309359210463908,16.52335921046391,0.6203352316658505,0
39,19.87582313,50.01548072,19.9291635675951,50.042482897524046,2024-03-28 07:59:08,967785602,1989392511,1239,206.5,2024-03-28 08:02:34,206.0,12.341616992455489,8.957489774398669,13.385489774398668,0.2606924235767794,1
40,19.87339007,50.00686954,19.925828223725688,50.075653280432284,2024-03-28 07:55:34,3946796943,1989392511,2027,337.8333333333333,2024-03-28 08:01:11,337.8333333333333,17.565227631544982,15.219246578902789,21.22324657890279,0.02513545957127993,0
41,19.87358594,50.01424713,19.830937746661448,50.007847520833444,2024-03-28 07:56:28,967785623,1989392511,1502,250.33333333333334,2024-03-28 08:00:38,250.33333333333334,14.743768383398844,13.478394210463904,18.432394210463904,0.024396279777408773,0
42,19.87341201,50.02144849,19.896832819715183,50.023389904983894,2024-03-28 08:11:43,1349572358,1989392511,1842,307.0,2024-03-28 08:16:50,307.0,9.867418533748642,6.397924248041271,12.031924248041271,0.10298347792384559,0
43,19.8711635,50.02084997,19.896832819715183,50.023389904983894,2024-03-28 08:11:55,1967678705,1989392511,2089,348.1666666666667,2024-03-28 08:17:43,348.1666666666667,8.654201879626587,6.397924248041271,12.525924248041271,0.020397743063697422,0
44,19.87125966,50.01298144,19.916133429658977,50.055493041678496,2024-03-28 08:12:52,1259472987,1989392511,2114,352.3333333333333,2024-03-28 08:18:44,352.3333333333333,19.96736176682189,14.453147293155084,20.631147293155085,0.3398897589458985,0
45,19.88268471,50.01428765,19.952184584477106,50.02572924887218,2024-03-28 07:45:59,4786826363,1989392511,1123,187.16666666666666,2024-03-28 07:49:06,187.16666666666666,14.988540488675163,12.186179135260772,16.382179135260774,0.19882750294164184,0
46,19.88105905,50.0142065,19.944623309478686,50.09375940213475,2024-03-28 07:48:23,4786826363,1989392511,1123,187.16666666666666,2024-03-28 07:51:30,187.16666666666666,23.355667030048984,17.645984699219735,21.841984699219733,0.819606287054341,0
47,19.86634813,50.01664548,19.890428160790396,50.01147754141,2024-03-28 08:10:36,1349565615,1989392511,2058,343.0,2024-03-28 08:16:19,343.0,9.331880375910798,4.971191992415154,11.037191992415153,0.1537728099665345,0
48,19.87177527,50.0054002,19.92168228026507,50.028237756414214,2024-03-28 08:02:54,295825387,1989392511,2169,361.5,2024-03-28 08:08:55,361.5,8.94661725556965,5.673519398423337,11.961519398423336,0.0467571664905006,0
49,19.87933556,50.02290555,19.896749805080038,50.092023913249974,2024-03-28 08:08:29,5228494127,1989392511,1850,308.3333333333333,2024-03-28 08:13:37,351.0,24.249674436008775,18.156338383423044,23.806338383423043,0.5781871938143008,1
50,19.87223307,50.01272542,19.924829315459874,50.04941389786661,2024-03-28 08:09:50,967785571,1989392511,1820,303.3333333333333,2024-03-28 08:14:53,303.3333333333333,13.235712857097916,11.318804172862338,16.908804172862336,0.024768762769472923,0
51,19.88132521,50.01947918,19.90664300481499,50.03013095170665,2024-03-28 08:10:57,497390972,1989392511,1105,184.16666666666666,2024-03-28 08:14:01,184.0,8.461606315716024,5.078109661602035,9.238109661602035,0.315181895076627,1
52,19.86171813,50.01856451,19.96285314488492,50.06240333080091,2024-03-28 07:59:18,4311593980,1989392511,2499,416.5,2024-03-28 08:06:14,416.5,23.50354116532588,19.40808684202502,26.35608684202502,0.054549877028903224,0
53,19.86110847,50.00551622,19.952184584477106,50.02572924887218,2024-03-28 08:13:14,967785552,1989392511,3168,528.0,2024-03-28 08:22:02,528.0,17.15663646609809,12.186179135260772,20.47217913526077,0.03504181624973815,0
54,19.86663995,50.02117053,19.924829315459874,50.04941389786661,2024-03-28 07:48:26,1967678689,1989392511,2149,358.1666666666667,2024-03-28 07:54:24,358.1666666666667,11.078571616504355,11.318804172862338,17.566804172862337,0.0015189246892177298,0
55,19.86779985,50.0211063,19.938498264089006,50.062474167174344,2024-03-28 07:58:47,1967678737,1989392511,2088,348.0,2024-03-28 08:04:35,348.0,18.21519101486316,15.15092857125341,21.27692857125341,0.044713426089708394,0
56,19.86690697,50.01995151,20.06400505456663,49.972753688256766,2024-03-28 07:53:38,1967678689,1989392511,2149,358.1666666666667,2024-03-28 07:59:36,458.0,31.455421353309532,22.333985826984396,28.581985826984397,0.9291651593950888,1
57,19.85887407,50.00548483,19.947149505549167,50.06925456517236,2024-03-28 08:09:21,967785552,1989392511,3168,528.0,2024-03-28 08:18:09,528.0,21.085715263089963,15.55302954881347,23.839029548813468,0.05989974444203597,0
58,19.88014152,50.01269315,19.923458794539304,50.05679640240351,2024-03-28 07:55:33,3600093249,1989392511,873,145.5,2024-03-28 07:57:58,145.0,17.38151672924452,13.293561992447419,16.98956199244742,0.597114079478491,1
59,19.85837638,50.00489621,19.896832819715183,50.023389904983894,2024-03-28 07:58:17,2710943674,1989392511,3446,574.3333333333334,2024-03-28 08:07:51,574.3333333333334,9.685561466073889,6.397924248041271,15.23992424804127,0.0038556107851836353,0
